Position,Origin
25,https://www.president.gov.ua/news/za-cej-tizhden-znisheno-vzhe-104-shahedi-zi-112-zastosovanih-87801
26,https://www.president.gov.ua/news/dbati-pro-nashih-voyiniv-pro-vsih-nashih-lyudej-ce-obovyazko-87789
27,https://www.president.gov.ua/news/ukrayina-ne-raz-dovodila-na-sho-zdatna-bude-chas-koli-zmozhe-87781
28,https://www.president.gov.ua/news/yevropa-povinna-peremagati-dogovori-mayut-vikonuvatisya-zver-87769
29,https://www.president.gov.ua/news/razom-mi-zdatni-zrobiti-tak-shob-rosiya-ne-zdobuvala-peremog-87753
30,https://www.president.gov.ua/news/svoboda-povinna-peremagati-zavzhdi-koli-htos-kidaye-yij-vikl-87673
31,https://www.president.gov.ua/news/narodi-ukrayini-ta-argentini-ponad-use-cinuyut-svobodu-svoyu-87653
32,https://www.president.gov.ua/news/maksimalno-aktivno-pracyuyemo-z-partnerami-zaradi-posilennya-87597
33,https://www.president.gov.ua/news/dyakuyu-kozhnij-ukrayinskij-rodini-yaka-rozumiye-voyenni-j-t-87573
34,https://www.president.gov.ua/news/ukrayina-borotimetsya-za-vlasni-interesi-j-za-spravedlivi-in-87537
35,https://www.president.gov.ua/news/mi-mozhemo-robiti-razom-znachno-bilshe-nizh-bud-hto-z-nas-na-87517
36,https://www.president.gov.ua/news/vilnomu-svitu-zhittyevo-neobhidno-zberegti-svoyu-konsolidova-87525
37,https://www.president.gov.ua/news/zvernennya-prezidenta-do-dnya-zbrojnih-sil-ukrayini-87485
38,https://www.president.gov.ua/news/sogodni-zbili-rosijskij-bojovij-litak-u-rajoni-zmiyinogo-yak-87481
39,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-z-nagodi-mizhnarodnogo-dnya-v-87453
40,https://www.president.gov.ua/news/asambleya-mizhnarodnoyi-morskoyi-organizaciyi-uhvalila-rezol-87449
41,https://www.president.gov.ua/news/usim-varto-pamyatati-sho-bitva-za-dolyu-ukrayini-trivaye-zve-87441
42,https://www.president.gov.ua/news/vazhlivo-shob-kozhen-tizhden-mozhna-bulo-skazati-ya-dodav-sh-87429
43,https://www.president.gov.ua/news/zasluhav-dopovidi-shodo-postachannya-boyepripasiv-i-zbroyi-g-87417
44,https://www.president.gov.ua/news/obgovorili-zaluchennya-resursiv-u-fortifikacijni-roboti-prio-87385
45,https://www.president.gov.ua/news/duzhe-vazhlivo-shob-kilkist-punktiv-nezlamnosti-v-usih-oblas-87353
46,https://www.president.gov.ua/news/gotuyemo-horoshi-dalekobijni-rechi-shob-okupanti-vidchuvali-87317
47,https://www.president.gov.ua/news/u-kozhnij-gromadi-zaraz-vazhlivo-zrobiti-maksimum-shob-mi-ne-87301
48,https://www.president.gov.ua/news/nihto-za-ostanni-desyatilittya-ne-zavdav-bilshoyi-shkodi-vil-87285
49,https://www.president.gov.ua/news/ne-mozhna-buti-ostoron-zahistu-ukrayini-i-slava-vsim-nashim-87281
50,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-z-nagodi-dnya-pamyati-zhertv-87249
51,https://www.president.gov.ua/news/chastina-zasidannya-stavki-sogodni-bula-prisvyachena-komplek-87237
52,https://www.president.gov.ua/news/ukrayina-dopovnyuye-svoyimi-sankciyami-mizhnarodni-sankcijni-87229
53,https://www.president.gov.ua/news/vidbulosya-chergove-zasidannya-u-formati-ramshtajn-ye-novi-p-87221
54,https://www.president.gov.ua/news/ukrayinskij-narod-umiye-dosyagati-svoyih-cilej-koli-vsi-bory-87193
55,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-z-nagodi-dnya-gidnosti-ta-svo-87165
56,https://www.president.gov.ua/news/svit-bachit-silu-ameriki-v-dopomozi-ukrayini-zvernennya-prez-87157
57,https://www.president.gov.ua/news/potriben-principovo-novij-riven-medichnogo-zabezpechennya-vo-87137
58,https://www.president.gov.ua/news/posilyuyemo-tisk-na-tih-hto-dopomagaye-rosijskomu-teroru-i-z-87121
59,https://www.president.gov.ua/news/aktivno-ruhayemosya-zi-ssha-shodo-spilnogo-virobnictva-zbroy-87093
60,https://www.president.gov.ua/news/hochu-podyakuvati-vsim-nashim-zahisnikam-neba-yihnij-rezulta-87077
61,https://www.president.gov.ua/news/organizaciya-chornomorskogo-ekonomichnogo-spivrobitnictva-za-87065
62,https://www.president.gov.ua/news/rosiya-she-zdatna-nesti-zlo-mayemo-shodnya-dodavati-nashij-d-87057
63,https://www.president.gov.ua/news/potencial-nashih-gromad-nashih-mizhmiskih-ta-mizhlyudskih-zv-87029
64,https://www.president.gov.ua/news/kozhen-nash-voyin-yakij-trimaye-poziciyi-pid-avdiyivkoyu-zas-87017
65,https://www.president.gov.ua/news/dlya-ukrayini-principovo-realizuvati-vsi-sim-rekomendacij-ye-86989
66,https://www.president.gov.ua/news/rosiya-gotuyetsya-do-zimi-i-v-ukrayini-vsya-uvaga-maye-buti-86969
67,https://www.president.gov.ua/news/nashi-sili-oboroni-j-bezpeki-dadut-vidpovid-rosijskij-armiyi-86961
68,https://www.president.gov.ua/news/ukrayina-zavzhdi-povertayetsya-zvernennya-prezidenta-volodim-86953
69,https://www.president.gov.ua/news/spivpracya-ta-yednist-usih-hto-cinuye-mir-mozhe-zapobigti-ka-86913
70,https://www.president.gov.ua/news/zrobimo-vse-shob-dodati-ukrayini-sili-zvernennya-prezidenta-86921
71,https://www.president.gov.ua/news/pracyuyemo-z-usima-partnerami-zaradi-posilennya-ppo-dlya-ukr-86885
72,https://www.president.gov.ua/news/koli-nashi-golosi-lunatimut-v-unison-mi-peremozhemo-mir-spra-86853
73,https://www.president.gov.ua/news/uzhe-rozumiyemo-yaki-nashi-kroki-potribni-shob-nablizhati-kl-86849
74,https://www.president.gov.ua/news/sogodni-istoriya-ukrayini-ta-vsiyeyi-yevropi-zrobila-praviln-86829
75,https://www.president.gov.ua/news/ukrayina-dlya-yes-ce-posilennya-vsiyeyi-yevropejskoyi-spilno-86821
76,https://www.president.gov.ua/news/zaraz-chas-bitvi-vid-yakoyi-zalezhit-dolya-derzhavi-j-lyudej-86809
77,https://www.president.gov.ua/news/shodo-rosijskogo-udaru-po-voyinah-128-yi-ogshbr-golovne-vsta-86805
78,https://www.president.gov.ua/news/ukrayina-mozhe-robiti-veliki-rechi-koli-pracyuye-obyednano-v-86797
79,https://www.president.gov.ua/news/shorazu-koli-bachus-z-nashimi-voyinami-ya-bachu-gotovnist-ne-86781
80,https://www.president.gov.ua/news/vpevnenij-sho-ukrayina-obovyazkovo-peremozhe-budte-vpevneni-86765
81,https://www.president.gov.ua/news/vpevnenij-sho-ukrayina-zrobit-nashu-yevropu-silnishoyu-nizh-86745
82,https://www.president.gov.ua/news/uspih-ukrayini-v-bitvi-za-chorne-more-ce-te-sho-bude-v-pidru-86729
83,https://www.president.gov.ua/news/mi-vsi-mayemo-buti-micnimi-yedinimi-mayemo-vistoyati-j-doves-86713
84,https://www.president.gov.ua/news/vazhlivo-nikoli-ne-zabuvati-yak-bagato-lyudej-dokladayut-zus-86701
85,https://www.president.gov.ua/news/nasha-formula-miru-postupovo-krok-za-krokom-staye-globalnoyu-86669
86,https://www.president.gov.ua/news/nashi-spilni-zusillya-zakladayut-novu-svitovu-tradiciyu-yedn-86657
87,https://www.president.gov.ua/news/haj-sogodni-vsih-obyednaye-vidchuttya-yak-bagato-ukrayinska-86649
88,https://www.president.gov.ua/news/naroshuyemo-nashi-mozhlivosti-ta-chitkishe-bachimo-zavershen-86617
89,https://www.president.gov.ua/news/rosiya-maye-bachiti-sho-yiyi-ambiciyi-zagarbnika-vitrimayut-86609
90,https://www.president.gov.ua/news/kozhen-rosijskij-udar-ce-argument-sho-tisku-na-derzhavu-tero-86589
91,https://www.president.gov.ua/news/usima-zasobami-pracyuyemo-zaradi-togo-shob-cya-vijna-zaversh-86569
92,https://www.president.gov.ua/news/potriben-maksimalno-chitkij-signal-rosiyi-nimechchina-pracyu-86561
93,https://www.president.gov.ua/news/prezident-na-parlamentskomu-samiti-krimskoyi-platformi-nasha-86557
94,https://www.president.gov.ua/news/yaksho-mozhemo-pozbutisya-sirih-geopolitichnih-zon-mi-povinn-86549
95,https://www.president.gov.ua/news/uvaga-svitu-do-ukrayini-do-zahistu-svobodi-ta-mizhnarodnogo-86533
96,https://www.president.gov.ua/news/ukrayina-ne-zlamayetsya-vistoyit-i-vizhene-rosijske-zlo-zi-s-86525
97,https://www.president.gov.ua/news/nashi-voyini-zrobili-cej-tizhden-duzhe-potuzhnim-dlya-ukrayi-86517
98,https://www.president.gov.ua/news/cimi-dnyami-rosijski-vtrati-spravdi-vrazhayut-i-same-taki-vt-86493
99,https://www.president.gov.ua/news/vdyachnij-ssha-za-liderstvo-yake-dopomagaye-yednati-svit-zar-86465
100,https://www.president.gov.ua/news/ministr-oboroni-predstaviv-programu-dij-uzhe-ye-pershi-kroki-86433
101,https://www.president.gov.ua/news/nashe-zavdannya-nezminne-cogo-roku-buti-gotovimi-vidkriti-pe-86413
102,https://www.president.gov.ua/news/mayemo-rezultat-u-nashomu-prosuvanni-vpered-zvernennya-prezi-86401
103,https://www.president.gov.ua/news/pracyuyemo-shob-dati-nashim-voyinam-bilshe-ppo-bilshe-zahist-86393
104,https://www.president.gov.ua/news/kozhen-povinen-vikonati-svoyu-chastinu-zahisnoyi-roboti-shob-86381
105,https://www.president.gov.ua/news/koli-teror-rozpovzayetsya-vazhlivo-shob-svit-davav-odnoznach-86377
106,https://www.president.gov.ua/news/nam-potribna-nadijna-geopolitichna-stabilnist-u-yevropi-ta-n-86329
107,https://www.president.gov.ua/news/nagalne-zavdannya-perevesti-v-cifrovij-format-uves-oblik-pos-86293
108,https://www.president.gov.ua/news/vid-bezperervnosti-pidtrimki-zalezhit-stijkist-oporu-vistup-86277
109,https://www.president.gov.ua/news/shodnya-nashi-voyini-ta-ves-narod-micnishi-zvernennya-prezid-86269
110,https://www.president.gov.ua/news/treba-vibiti-iz-ruk-rosiyi-instrument-teroru-vistup-preziden-86245
111,https://www.president.gov.ua/news/strategichni-vidnosini-ukrayini-ta-rumuniyi-ce-nova-sila-dly-86225
112,https://www.president.gov.ua/news/rosiya-zacikavlena-v-rozpalenni-vijni-na-blizkomu-shodi-shob-86197
113,https://www.president.gov.ua/news/nasha-z-vami-yednist-maye-j-mozhe-zupiniti-zlo-vistup-prezid-86193
114,https://www.president.gov.ua/news/nastupnogo-tizhnya-pracyuvatimemo-razom-iz-nashimi-partneram-86189
115,https://www.president.gov.ua/news/koli-vidbuvayetsya-udar-teroristiv-usi-hto-cinuye-zhittya-ma-86173
116,https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-volodimira-zelenskogo-shodo-teror-86165
117,https://www.president.gov.ua/news/vigrati-cyu-zimu-projti-vsi-skladnoshi-j-dati-zahist-nashim-86153
118,https://www.president.gov.ua/news/sogodni-nash-golovnij-mesedzh-dlya-svitu-zlo-ne-maye-prava-v-86149
119,https://www.president.gov.ua/news/shob-u-majbutnomu-u-yevropi-ne-bulo-vijni-nasha-yednist-maye-86117
120,https://www.president.gov.ua/news/robota-v-regionah-shodo-fizichnogo-zahistu-kritichnih-obyekt-86093
121,https://www.president.gov.ua/news/harkiv-ne-prosto-trimayetsya-dopomagaye-trimati-micnim-uves-86077
122,https://www.president.gov.ua/news/mizhnarodne-pravo-mozhe-vigrati-lishe-tut-v-ukrayini-i-vigra-86061
123,https://www.president.gov.ua/news/nasha-spilna-peremoga-pryamo-zalezhit-vid-nashoyi-z-vami-spi-86013
124,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-z-nagodi-dnya-za-85993
125,https://www.president.gov.ua/news/nasha-derzhava-mozhe-stati-j-obovyazkovo-stane-donorom-globa-85989
126,https://www.president.gov.ua/news/mi-zakladayemo-osnovu-arsenalu-vilnogo-svitu-vistup-preziden-85961
127,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-z-nagodi-dnya-pracivnikiv-osv-86005
128,https://www.president.gov.ua/news/ne-lishe-zavdyaki-sili-nashoyi-zbroyi-j-sili-nashogo-duhu-ta-85973
129,https://www.president.gov.ua/news/robitimemo-vse-shob-garantuvati-ubezpechennya-ukrayini-ta-vs-85945
130,https://www.president.gov.ua/news/nashim-voyinam-potribno-bilshe-instrumentiv-shob-znishuvati-85913
131,https://www.president.gov.ua/news/nashih-ukrayinskih-dij-proti-derzhavi-terorista-bude-bilshe-85893
132,https://www.president.gov.ua/news/najkrashe-shob-mi-mogli-viroblyati-peredovi-zrazki-zbroyi-sh-85885
133,https://www.president.gov.ua/news/tizhden-buv-duzhe-produktivnij-mayemo-bagato-horoshih-oboron-85877
134,https://www.president.gov.ua/news/vistup-prezidenta-ukrayini-volodimira-zelenskogo-na-zustrich-85881
135,https://www.president.gov.ua/news/cyu-rosijsku-agresiyu-treba-zakinchiti-nashoyu-peremogoyu-vi-85841
136,https://www.president.gov.ua/news/vistup-prezidenta-j-pershoyi-ledi-ukrayini-pered-predstavnik-85817
137,https://www.president.gov.ua/news/razom-pracyuvatimemo-shob-spilno-z-amerikoyu-ukrayina-virobl-85805
138,https://www.president.gov.ua/news/zastosuvannya-prava-veto-potrebuye-reformuvannya-i-ce-mozhe-85745
139,https://www.president.gov.ua/news/shob-zapobigti-potryasinnyam-na-svitovomu-rinku-prodovolstva-85713
140,https://www.president.gov.ua/news/sogodni-lyudstvo-maye-diyati-v-povnij-solidarnosti-shob-urya-85705
141,https://www.president.gov.ua/news/vi-priklad-nadpotuzhnoyi-voli-i-ce-nadihaye-zvernennya-prezi-85677
142,https://www.president.gov.ua/news/mayemo-prijti-do-togo-shob-dlya-vsih-ditej-u-nashij-krayini-85673
143,https://www.president.gov.ua/news/nashe-zavdannya-dati-ukrayini-vsi-mozhlivosti-viroblyati-zbr-85669
144,https://www.president.gov.ua/news/yevropa-vigraye-zavzhdi-koli-dogovori-pracyuyut-obicyanki-vi-85637
145,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621
146,https://www.president.gov.ua/news/nastupnogo-roku-dodayemo-znachni-byudzhetni-koshti-na-oboron-85589
147,https://www.president.gov.ua/news/novij-istorichnij-krok-mizh-ukrayinoyu-ta-yes-maye-vidbutisy-85581
148,https://www.president.gov.ua/news/obyednujte-zaradi-svobodi-zaradi-spilnih-zdobutkiv-zvernenny-85565
149,https://www.president.gov.ua/news/deklaraciyi-mayut-buti-vidkritimi-odrazu-zvernennya-preziden-85561
150,https://www.president.gov.ua/news/paperovoyi-roboti-u-vijskah-maye-stati-znachno-menshe-zverne-85557
151,https://www.president.gov.ua/news/front-za-minuli-sim-dniv-mayemo-prosuvannya-vpered-zvernenny-85545
152,https://www.president.gov.ua/news/partnerstvo-ukrayini-ta-yaponiyi-stane-globalnim-prikladom-z-85533
153,https://www.president.gov.ua/news/sankcijnij-nastup-svitu-maye-vidnovitisya-zvernennya-prezide-85493
154,https://www.president.gov.ua/news/dlya-bagatoh-u-sviti-ukrayina-zaraz-ce-osobistij-moralnij-vi-85473
155,https://www.president.gov.ua/news/rezultati-ce-te-sho-zaraz-neobhidno-ukrayini-vid-usih-na-vsi-85457
156,https://www.president.gov.ua/news/kozhen-proyav-konsolidaciyi-svitu-realno-dopomagaye-ryatuvat-85425
157,https://www.president.gov.ua/news/obmezhennya-proti-ukrayinskogo-eksportu-zaraz-ce-masshtabuva-85413
158,https://www.president.gov.ua/news/nikogo-ne-mozhna-lishati-naodinci-z-vijnoyu-ta-yiyi-naslidka-85401
159,https://www.president.gov.ua/news/okreslili-z-voyinami-kilka-prioritetnih-pozicij-sho-treba-zr-85389
160,https://www.president.gov.ua/news/sogodni-ves-den-iz-nashimi-voyinami-duzhe-korisno-pochuti-vi-85377
161,https://www.president.gov.ua/news/ocholiti-ministerstvo-oboroni-ukrayini-maye-rustem-umyerov-z-85353
162,https://www.president.gov.ua/news/ciyeyi-suboti-svij-den-vidznachayut-tri-mista-bez-yakih-ne-u-85345
163,https://www.president.gov.ua/news/usmishka-kozhnoyi-ditini-kozhen-urok-yakij-sogodni-proveli-u-85325
164,https://www.president.gov.ua/news/zhodnih-sumniviv-sho-chas-golovuvannya-italiyi-v-g7-dast-sil-85301
165,https://www.president.gov.ua/news/domovleno-pro-postachannya-v-ukrayinu-velikoyi-partiyi-brono-85297
166,https://www.president.gov.ua/news/kozhen-rezultat-ukrayini-ce-osvita-konkretnogo-ukrayincya-j-85277
167,https://www.president.gov.ua/news/zhodnih-cherg-cifrovizaciya-roboti-vlk-ce-duzhe-vazhlivo-zve-85265
168,https://www.president.gov.ua/news/buti-dostojnimi-shlyahu-yakim-ide-ukrayina-ce-obovyazok-zver-85249
169,https://www.president.gov.ua/news/nasha-oboronka-davatime-bilshij-rezultat-zvernennya-preziden-85233
170,https://www.president.gov.ua/news/protyagom-tizhnya-budut-rishennya-yaki-dadut-nam-zmogu-she-p-85221
171,https://www.president.gov.ua/news/spravzhnya-micnist-ye-lishe-v-tih-derzhav-yaki-vmiyut-zahish-85213
172,https://www.president.gov.ua/news/zavdannya-maksimalne-nablizhennya-momentu-koli-f-16-dopomozh-85193
173,https://www.president.gov.ua/news/nezalezhnist-iz-nashih-ruk-mi-ne-vipustimo-j-damo-ukrayini-t-85157
174,https://www.president.gov.ua/news/privitannya-prezidenta-volodimira-zelenskogo-z-nagodi-dnya-n-85145
175,https://www.president.gov.ua/news/rosiya-sprichinila-izolyaciyu-krimu-mi-povernemo-dlya-krimu-85121
176,https://www.president.gov.ua/news/zagalnij-pidsumok-cih-dniv-ukrayina-stala-silnishoyu-zvernen-85089
177,https://www.president.gov.ua/news/use-v-nashij-derzhavi-maye-stati-pomichnikom-veterana-yak-so-85069
178,https://www.president.gov.ua/news/zavershuyemo-istorichnij-vizit-do-derzhav-pivnichnoyi-yevrop-85033
179,https://www.president.gov.ua/news/svoyeyu-peremogoyu-ta-spivpraceyu-mi-dovedemo-sho-lyudi-mayu-85025
180,https://www.president.gov.ua/news/koli-stalosya-vtorgnennya-zla-ukrayina-povirila-daniyi-i-dya-85013
181,https://www.president.gov.ua/news/krok-za-krokom-nablizhayemosya-do-togo-shob-shvedski-litaki-84981
182,https://www.president.gov.ua/news/gotuyemo-potuzhni-rechi-dlya-posilennya-nashoyi-derzhavi-nas-84949
183,https://www.president.gov.ua/news/buduyemo-arsenal-vilnogo-svitu-razom-zvernennya-prezidenta-u-84933
184,https://www.president.gov.ua/news/use-te-pro-sho-govorili-v-nashih-bojovih-brigadah-teper-ye-z-84917
185,https://www.president.gov.ua/news/vidguki-nashih-kombativ-pro-bojove-zastosuvannya-tehniki-ta-84901
186,https://www.president.gov.ua/news/hto-ne-byetsya-na-peredovij-toj-maye-dopomagati-bitisya-zver-84877
187,https://www.president.gov.ua/news/rosijski-teroristi-povinni-vidchuvati-odne-yih-bude-znisheno-84861
188,https://www.president.gov.ua/news/vazhlivo-shob-kozhnogo-tizhnya-rosiya-bachila-novu-mizhnarod-84857
189,https://www.president.gov.ua/news/robimo-vse-shob-ukrayina-j-nadali-bula-garantom-prodovolchoy-84837
190,https://www.president.gov.ua/news/keruvati-sistemoyu-tck-mayut-lyudi-yaki-tochno-znayut-sho-ta-84825
191,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817
192,https://www.president.gov.ua/news/zavdannya-u-vsih-v-ukrayini-zbilshuvati-potencial-nashih-moz-84805
193,https://www.president.gov.ua/news/krok-za-krokom-mi-robimo-deokupaciyu-krimu-dedali-bilsh-dosy-84797
194,https://www.president.gov.ua/news/kozhen-hto-bere-okupantiv-u-polon-na-fronti-prishvidshuye-sv-84765
195,https://www.president.gov.ua/news/ukrayini-potribna-sila-j-maksimalna-zoseredzhenist-na-dosyag-84753
196,https://www.president.gov.ua/news/mizhnarodnij-poryadok-zasnovanij-na-pravilah-i-porushenij-ro-84733
197,https://www.president.gov.ua/news/spravedlive-j-chesne-zavershennya-rosijskoyi-agresiyi-dast-k-84729
198,https://www.president.gov.ua/news/usi-povinni-pracyuvati-na-peremogu-na-zahist-lyudej-i-ukrayi-84713
199,https://www.president.gov.ua/news/zakarpattya-bude-odnim-iz-drajveriv-rozvitku-dlya-vsiyeyi-uk-84693
200,https://www.president.gov.ua/news/vashe-zavdannya-shob-svit-zavzhdi-buv-razom-z-ukrayinoyu-vis-84665
201,https://www.president.gov.ua/news/okupanti-serjozno-vidchuyut-naslidki-nashoyi-roboti-zvernenn-84661
202,https://www.president.gov.ua/news/dlya-zahistu-zhittya-ukrayinciv-i-ukrayinok-potribno-shob-u-84645
203,https://www.president.gov.ua/news/postupovo-vijna-povertayetsya-na-teritoriyu-rosiyi-i-ce-nemi-84621
204,https://www.president.gov.ua/news/sili-specialnih-operacij-ce-geroyizm-pro-yakij-nemozhlivo-ro-84601
205,https://www.president.gov.ua/news/gotuyemo-dovoli-vagomi-mizhnarodni-rishennya-dlya-ukrayini-d-84577
206,https://www.president.gov.ua/news/mav-chest-privitati-likariv-i-medichnih-sestrichok-frontovih-84561
207,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-zuhvalist-ciyeyi-ataki-rosijskih-terorist-84521
208,https://www.president.gov.ua/news/koli-nashi-lyudi-roblyat-use-mozhlive-j-nemozhlive-dlya-pere-84509
209,https://www.president.gov.ua/news/rosiya-povinna-shodnya-vtrachati-ce-spravedlivo-zvernennya-p-84497
210,https://www.president.gov.ua/news/popri-bud-yaki-namagannya-zlamati-nashu-derzhavu-j-nashih-ly-84493
211,https://www.president.gov.ua/news/trivaye-perevirka-vijskkomativ-vidpovidalnist-za-porushennya-84489
212,https://www.president.gov.ua/news/z-pochatku-tizhnya-lishe-v-odeskij-oblasti-vid-rosijskogo-te-84469
213,https://www.president.gov.ua/news/lyudi-mayut-vidchuvati-sho-resursi-byudzhetiv-vikoristovuyut-84457
214,https://www.president.gov.ua/news/rosijskij-teror-zachipaye-vsih-kozhen-u-sviti-maye-buti-zaci-84433
215,https://www.president.gov.ua/news/pokarati-rosiyu-za-teror-ce-istorichne-zavdannya-suchasnogo-84409
216,https://www.president.gov.ua/news/ukrayina-oon-i-turechchina-spilno-mozhut-zabezpechiti-robotu-84381
217,https://www.president.gov.ua/news/bezpeka-nashogo-kontinentu-pochinayetsya-suverenitetom-i-sil-84365
218,https://www.president.gov.ua/news/mi-ne-mozhemo-zalishiti-zhodnogo-mista-j-sela-v-rosijskij-ok-84357
219,https://www.president.gov.ua/news/kozhna-tisyacha-metriv-prosuvannya-vpered-kozhen-uspih-kozhn-84341
220,https://www.president.gov.ua/news/do-krayin-velikoyi-simki-iz-yakimi-mi-vchora-pogodili-garant-84329
221,https://www.president.gov.ua/news/upershe-za-chas-nezalezhnosti-mi-sformuvali-fundament-bezpek-84305
222,https://www.president.gov.ua/news/ukrayina-bude-v-nato-pracyuyemo-nad-algoritmom-nabuttya-chle-84233
223,https://www.president.gov.ua/news/cinuyemo-kozhne-zhittya-pamyatayemo-istoriyu-i-razom-zahisha-84229
224,https://www.president.gov.ua/news/zmiyinij-vilnij-ostriv-vilnoyi-ukrayini-zvernennya-prezident-84181
225,https://www.president.gov.ua/news/oboronna-pidtrimka-ce-poryatunok-svobodi-vistup-prezidenta-u-84117
226,https://www.president.gov.ua/news/nihto-u-sviti-ne-maye-zalishatisya-naodinci-z-vorogom-svobod-84081
227,https://www.president.gov.ua/news/maksimalno-pracyuyemo-z-partnerami-shob-nasha-spilna-bezpeka-84077
228,https://www.president.gov.ua/news/svit-bachit-sho-yedinim-dzherelom-nebezpeki-dlya-zaporizkoyi-84065
229,https://www.president.gov.ua/news/mi-zrobimo-vse-mozhlive-j-nemozhlive-shob-nasha-ppo-stala-na-84033
230,https://www.president.gov.ua/news/nikoli-ukrayinski-beregi-ne-terpitimut-okupanta-zvernennya-p-84025
231,https://www.president.gov.ua/news/usi-hto-dopomagatime-agresoru-otrimayut-vidpovid-ukrayini-ta-84005
232,https://www.president.gov.ua/news/ukrayina-j-ukrayinci-znachno-silnishi-nizh-bud-hto-dumaye-pr-83973
233,https://www.president.gov.ua/news/protidiya-ekocidu-ce-odin-iz-punktiv-ukrayinskoyi-formuli-mi-83941
234,https://www.president.gov.ua/news/prezident-volodimir-zelenskij-na-ceremoniyi-vruchennya-premi-83937
235,https://www.president.gov.ua/news/ce-istorichnij-chas-shob-pochati-peregovori-pro-chlenstvo-uk-83925
236,https://www.president.gov.ua/news/rosiya-ta-yiyi-spilniki-povinni-vidchuvati-sho-cina-yihnogo-83897
237,https://www.president.gov.ua/news/ukrayina-peremogi-bude-krayinoyu-gidnoyu-svoyih-geroyiv-vist-83869
238,https://www.president.gov.ua/news/kozhen-proyav-teroru-znovu-dovodit-usomu-svitu-sho-rosiya-za-83849
239,https://www.president.gov.ua/news/sogodni-na-vsih-napryamkah-u-nashih-voyiniv-bulo-prosuvannya-83833
240,https://www.president.gov.ua/news/sho-dovshe-trivaye-rosijska-agresiya-bilshu-degradaciyu-vona-83801
